Grammar Point,Mastered?,Percent Completed,Grammar Points Mastered,English
～おう,FALSE,,,Let’s; shall we; volitional form
～という～,FALSE,,,Called; named; such as
～かどうか,FALSE,,,Whether or not
～のようてほしい,FALSE,,,Want someone to; wish for
～はずです,FALSE,,,It should be; it is expected
～てある,FALSE,,,Something has been done; is in a state of
Dictionary form+と,FALSE,,,When; if; whenever
～がほしい,FALSE,,,Want; desire
～なさい,FALSE,,,Command form; do it
～てもらう,FALSE,,,To have someone do something for you
しか～ない,FALSE,,,Only; nothing but
～よう,FALSE,,,In order to; so that
～てあげる,FALSE,,,To do something for someone
(period)に(frequency),FALSE,,,(Frequency) per (period)
そうです,FALSE,,,I heard that; it is said
～ていただけませんか,FALSE,,,Would you please
～やすい,FALSE,,,Easy to; likely to
～かもしれない,FALSE,,,Might; maybe
～ば/～れば,FALSE,,,If; when
～たらどうですか,FALSE,,,How about; why don’t you
～く/ ～にする,FALSE,,,To make something (adjective)
のに,FALSE,,,Despite; although; even though
Number+も,FALSE,,,As many as; as much as
てみる,FALSE,,,Try to; give it a try
～ばよかった,FALSE,,,I wish I had; should have
～てすみません,FALSE,,,I’m sorry for
～ないで,FALSE,,,Without doing
～ているあいだに,～,FALSE,,,While; during
～といいです,FALSE,,,It would be good if; I hope
～てくれる,FALSE,,,Someone does something for me
～のように,FALSE,,,Like; similar to
～させる,FALSE,,,To make someone do
～させられる,FALSE,,,To be made to do; to be forced to do
～し,FALSE,,,And; also; moreover
なら,FALSE,,,If; when it comes to
～ことにする,FALSE,,,Decide to; make a decision
～てくれてありがとう,FALSE,,,Thank you for doing
～ておく,FALSE,,,To do something in advance
～てしまう,FALSE,,,To end up; completely
～のような,FALSE,,,Like; similar to
～ても,FALSE,,,Even if; although
～みたい,FALSE,,,Seems like; looks like
～ながら,FALSE,,,While; at the same time
～なくてもいい,FALSE,,,Don’t have to; no need to
～てよかった,FALSE,,,I’m glad that
～たら,FALSE,,,If; when
～にくい,FALSE,,,Hard to; difficult to
～られる,FALSE,,,Potential form; can do
～そうです,FALSE,,,Looks like; seems
～たがる,FALSE,,,Want to; shows desire
