,"How to use this sheet: This sheet is designed to allow you to track your progress.  
Once you have mastered a grammar point or vocabulary / kanji  change the selector in Yes and your progress percentage will update",,,,
,,,,,
,Copyright © 2019 Coto Japanese Academy,,,,
,https://www.cotoacademy.com,,,,
,This is a read only version - go to FILE > MAKE A COPY to download to your own google drive,,,,
Kanji,pronunciation,English,Mastered?,Percent Completed,Kanji Mastered
,,,,0.00%,0
洋,ヨウ,ocean; sea; foreign; Western style,FALSE,,
心,シン・こころ・~ごころ,heart; mind; spirit; heart radical (no. 61),FALSE,,
立,リツ・リュウ・リットル・た.つ・~た.つ・た.ち~・た.てる・~た.てる・た.て~・たて~・~た.て・~だ.て・~だ.てる,stand up; rise; set up; erect,FALSE,,
兄,ケイ・キョウ・あに,elder brother; big brother,FALSE,,
病,ビョウ・ヘイ・や.む・~や.み・やまい,ill; sick,FALSE,,
明,メイ・ミョウ・ミン・あ.かり・あか.るい・あか.るむ・あか.らむ・あき.らか・あ.ける・~あ.け・あ.く・あ.くる・あ.かす,bright; light,FALSE,,
音,オン・イン・~ノン・おと・ね,sound; noise,FALSE,,
有,ユウ・ウ・あ.る,possess; have; exist; happen; occur; approx,FALSE,,
題,ダイ,topic; subject,FALSE,,
花,カ・ケ・はな,flower,FALSE,,
通,ツウ・ツ・とお.る・とお.り・~とお.り・~どお.り・とお.す・とお.し・~どお.し・かよ.う,"traffic; pass through; avenue; commute; counter for letters, notes, documents, etc.",FALSE,,
物,ブツ・モツ・もの・もの~,thing; object; matter,FALSE,,
用,ヨウ・もち.いる,utilize; business; service; use; employ,FALSE,,
店,テン・みせ・たな,store; shop,FALSE,,
運,ウン・はこ.ぶ,carry; luck; destiny; fate; lot; transport; progress; advance,FALSE,,
工,コウ・ク・グ,craft; construction; katakana e radical (no. 48),FALSE,,
切,セツ・サイ・き.る・~き.る・き.り・~き.り・~ぎ.り・き.れる・~き.れる・き.れ・~き.れ・~ぎ.れ,cut; cutoff; be sharp,FALSE,,
死,シ・し.ぬ・し.に~,death; die,FALSE,,
安,アン・やす.い・やす.まる・やす・やす.らか,relax; cheap; low; quiet; rested; contented; peaceful,FALSE,,
