Grammar Point,Mastered?,Percent Completed,Grammar Points Mastered,English
～たび～,FALSE,,,Every time; whenever
ようにする,FALSE,,,Try to; make an effort to
まさか,FALSE,,,No way; surely not
～げ,FALSE,,,Seems; looks like
～始める,FALSE,,,Start to; begin to
～らしい,FALSE,,,It seems; apparently
～ぐらい,FALSE,,,About; approximately; to the extent
～には～の～がある,FALSE,,,Has its own; specific to
～ても,FALSE,,,Even if; although
～によると,FALSE,,,According to
むしろ,FALSE,,,Rather; instead
～として,FALSE,,,As; in the role of
N+ばかり,FALSE,,,Nothing but; only
すぎない（過ぎない）,FALSE,,,Nothing more than; merely
～っぽい,FALSE,,,Seemingly; -ish
すでに（既に）,FALSE,,,Already; previously
おいて（於いて）,FALSE,,,In; at; on
ほど,FALSE,,,To the extent; as much as
～ないで,FALSE,,,Without doing; instead of
つい,FALSE,,,Accidentally; unintentionally
ふり,FALSE,,,Pretend; act as if
まま,FALSE,,,As it is; leave as
～ために,FALSE,,,For the sake of; because of
～ないうちに,FALSE,,,Before doing; while not yet
～としたら,FALSE,,,If; assuming
つもりで,FALSE,,,With the intention of
～に関する,FALSE,,,About; concerning
～とても～ない,FALSE,,,Cannot possibly
どうしても,FALSE,,,No matter what; by all means
～とともに～,FALSE,,,Together with; along with
きり,FALSE,,,Just; only
～によって,FALSE,,,By; through; depending on
ように,FALSE,,,So that; in such a way
～て初めて,FALSE,,,Only after; not until
～がち,FALSE,,,Tend to; prone to
～ず,FALSE,,,Without; not doing
～ようになる,FALSE,,,Come to be able to; start to
せいぜい,FALSE,,,At most; at best
N+を始め,FALSE,,,Starting with; including
～ば～ほど,FALSE,,,The more... the more
～たて,FALSE,,,Freshly; newly
～は～くらいです,FALSE,,,As much as; only
どうやら,FALSE,,,Apparently; somehow
～は～で有名,FALSE,,,Famous for
～かえって,FALSE,,,On the contrary; rather
～さえ～ば,FALSE,,,If only; as long as
こそ,FALSE,,,Precisely; exactly
～になれる,FALSE,,,Can become; get used to
さらに（更に）,FALSE,,,Furthermore; even more
～代わり,FALSE,,,Instead of; in place of
まい,FALSE,,,Will not; do not intend to
わざわざ,FALSE,,,Taking the trouble to; intentionally
限る,FALSE,,,Be limited to; only
おかげで,FALSE,,,Thanks to; because of
さえ,FALSE,,,Even; so long as
～たものだ,FALSE,,,Used to; used to do
～のような,FALSE,,,Like; similar to
的,FALSE,,,Like; -ish; typical
いったい（一体）,FALSE,,,What in the world; the heck
～ことになる,FALSE,,,It has been decided that; come to
～に違いない,FALSE,,,Must be; no doubt
なかなか,FALSE,,,Quite; very; not easily
～たばかり,FALSE,,,Just did; just finished
