,,"How to use this sheet: This sheet is designed to allow you to track your progress.  
Once you have mastered a grammar point or vocabulary / kanji  change the selector in Yes and your progress percentage will update",,,
,,,,,
,,Copyright © 2019 Coto Japanese Academy,,,
,,https://www.cotoacademy.com,,,
,,This is a read only version - go to FILE > MAKE A COPY to download to your own google drive,,,
Kanji,Hiragana,English,Mastered?,Percent Completed,Vocabulary Mastered
,,,,0.00%,0
見舞い,みまい,"enquiry,expression of sympathy,expression of concern",FALSE,,
援助,えんじょ,"assistance,aid,support",FALSE,,
黙る,だまる,to be silent,FALSE,,
宗教,しゅうきょう,religion,FALSE,,
,テント,tent,FALSE,,
目標,もくひょう,"mark,objective,target",FALSE,,
睡眠,すいみん,sleep,FALSE,,
調査,ちょうさ,"investigation,examination,inquiry,survey",FALSE,,
夜,よ,"evening,night",FALSE,,
汚染,おせん,"pollution,contamination",FALSE,,
現代,げんだい,"nowadays,modern times,present-day",FALSE,,
土地,とち,"plot of land,lot,soil",FALSE,,
支払,しはらい,payment,FALSE,,
震える,ふるえる,"to shiver,to shake,to quake",FALSE,,
作物,さくもつ,"produce (e.g. agricultural),crops",FALSE,,
引っ張る,ひっぱる,"(1) to pull,to draw,to stretch,to drag,(2) to pull the ball (baseball)",FALSE,,
単位,たんい,"unit,denomination,credit (in school)",FALSE,,
川,かわ,river,FALSE,,
無料,むりょう,"free,no charge",FALSE,,
意思,いし,"intention,purpose",FALSE,,
虫歯,むしば,"cavity,tooth decay,decayed tooth,caries",FALSE,,
姿,すがた,"figure,shape,appearance",FALSE,,
承知,しょうち,"consent,acceptance,assent,admitting",FALSE,,
休憩,きゅうけい,"rest,break,recess,intermission",FALSE,,
加える,くわえる,"to append,to sum up,to add (up)",FALSE,,
怪我,けが,"injury (to animate object),hurt",FALSE,,
姉妹,しまい,sisters,FALSE,,
個人,こじん,"individual,private person,personal,private",FALSE,,
読み,よみ,reading,FALSE,,
巨大,きょだい,"huge,gigantic,enormous",FALSE,,
異なる,ことなる,"to differ,to vary,to disagree",FALSE,,
一種,いっしゅ,"a species,a kind,a variety",FALSE,,
